coordonnees;date
0.10738134666416482;2015-05-14
0.12447926388679133;2015-05-15
0.14154029521704564;2015-05-16
0.15855938510313736;2015-05-17
0.17553149042143126;2015-05-18
0.19245158197083342;2015-05-19
0.20931464596305235;2015-05-20
0.22611568550829236;2015-05-21
0.2428497220959401;2015-05-22
0.25951179706980454;2015-05-23
0.27609697309747394;2015-05-24
0.29260033563335386;2015-05-25
0.30901699437495317;2015-05-26
0.3253420847119862;2015-05-27
0.34157076916786183;2015-05-28
0.35769823883313207;2015-05-29
0.37371971479047583;2015-05-30
0.3896304495307951;2015-05-31
0.4054257283600046;2015-06-01
0.4211008707960972;2015-06-02
0.4366512319560718;2015-06-03
0.4520722039323124;2015-06-04
0.46735921715801065;2015-06-05
0.48250774176122696;2015-06-06
0.4975132889071895;2015-06-07
0.5123714121284326;2015-06-08
0.5270777086423815;2015-06-09
0.5416278206559909;2015-06-10
0.5560174366570542;2015-06-11
0.5702422926917969;2015-06-12
0.5842981736283784;2015-06-13
0.5981809144059266;2015-06-14
0.6118864012687347;2015-06-15
0.6254105729852568;2015-06-16
0.6387494220515377;2015-06-17
0.6518989958787232;2015-06-18
0.6648553979642973;2015-06-19
0.6776147890466998;2015-06-20
0.6901733882429829;2015-06-21
0.7025274741691679;2015-06-22
0.714673386042972;2015-06-23
0.7266075247685767;2015-06-24
0.7383263540031176;2015-06-25
0.7498264012045798;2015-06-26
0.7611042586607858;2015-06-27
0.7721565844991755;2015-06-28
0.782980103677074;2015-06-29
0.7935716089521585;2015-06-30
0.8039279618328324;2015-07-01
0.8140460935082289;2015-07-02
0.8239230057575653;2015-07-03
0.8335557718385808;2015-07-04
0.8429415373547937;2015-07-05
0.85207752110132;2015-07-06
0.8609610158890049;2015-07-07
0.8695893893466214;2015-07-08
0.8779600847008985;2015-07-09
0.8860706215341481;2015-07-10
0.893918596519267;2015-07-11
0.9015016841318938;2015-07-12
0.9088176373395125;2015-07-13
0.9158642882672965;2015-07-14
0.9226395488404967;2015-07-15
0.9291414114031832;2015-07-16
0.9353679493131568;2015-07-17
0.9413173175128554;2015-07-18
0.9469877530760833;2015-07-19
0.9523775757304052;2015-07-20
0.9574851883550467;2015-07-21
0.9623090774541557;2015-07-22
0.9668478136052843;2015-07-23
0.9711000518829568;2015-07-24
0.9750645322572008;2015-07-25
0.9787400799669208;2015-07-26
0.9821256058680058;2015-07-27
0.9852201067560655;2015-07-28
0.988022665663702;2015-07-29
0.9905324521322268;2015-07-30
0.9927487224577437;2015-07-31
0.9946708199115242;2015-08-01
0.9962981749346104;2015-08-02
0.9976303053065878;2015-08-03
0.9986668162884775;2015-08-04
0.9994074007397058;2015-08-05
0.9998518392091168;2015-08-06
1.0;2015-08-07
0.9998526477050269;2015-08-08
0.9994106342455052;2015-08-09
0.9986740898848305;2015-08-10
0.9976432316860063;2015-08-11
0.9963183634476755;2015-08-12
0.9946998756145891;2015-08-13
0.99278824516254;2015-08-14
0.990584035457797;2015-08-15
0.9880878960910772;2015-08-16
0.985300562686109;2015-08-17
0.9822228566828407;2015-08-18
0.9788556850953578;2015-08-19
