"CM1" "CM2" "CM3" "CM4" "CM5" "CM6" "CM7" "CM8" "CM9" "CM10" "CM11" "CM12" "CM13" "CM14" "CM15" "CM16" "CM17" "CM18" "CM19" "CM20" "CM21" "CM22" "CM23" "CM24" "CM25" "CM26" "CM27" "CM28" "CM29" "CM30" "CM31" "CM32" "CM33" "CM34" "CM35" "CM36" "CM37" "CM38" "CM39" "CM40" "CM41" "CM42" "CM43" "CM44" "CM45" "CM46" "CM47" "CM48" "CM49" "CM50" "CM51" "CM52" "CM53" "CM54" "CM55" "CM56" "CM57" "CM58" "CM59" "CM60" "CM61" "CM62" "CM63" "CM64" "CM65" "CM66" "CM67" "CM68" "CM69" "CM70" "CM71" "CM72"
"Sidec" 61.326190476 77.833333333 75.3 66.655555556 67.761363636 66.904761905 66.12 75.972727273 84.976190476 98.722727273 98.511363636 94.944736842 103.40681818 111.22 103.7 98.681578947 88.795454545 91.775 93.859090909 91.154347826 71.2725 67.234782609 69.040909091 75.711111111 76.222727273 77.885 82.02 72.5875 70.968181818 70.8475 67.904347826 58.570454545 56.183809524 35.490434783 42.404761905 46.29 41.430909091 36.9095 30.919047619 22.66 28.315238095 32.896666667 32.10826087 30.96 24.419545455 22.187391304 25.386 24.292 28.326666667 35.9165 39.356956522 47.355 47.367142857 47.863181818 50.165454545 50.836818182 51.862272727 51.070952381 48.167272727 49.072173913 52.4 56 57.092857143 66.183333333 64.793181818 69.259090909 74.816666667 76.706521739 76.104545455 78.269047619 77.731818182 84.554761905
"ABC003500445" 9.1495238095 9.9971428571 9.7052173913 9.6161111111 10.147272727 10.015238095 9.5975 9.4517391304 9.4761904762 9.5827272727 9.5536363636 9.8078947368 9.9963636364 10.6755 10.647272727 10.613684211 10.65 10.631 10.583636364 10.485652174 9.9845 9.4713043478 9.5472727273 9.8461111111 10.593181818 10.805 10.708 11.262380952 12.213636364 11.729 11.303043478 11.022727273 11.019047619 10.032608696 8.5371428571 8.8015789474 9.135 9.327 8.8733333333 8.695 8.7238095238 8.510952381 8.5273913043 8.3638095238 8.4140909091 8.4334782609 8.7565 8.6425 8.8671428571 10.051 10.16 10.441 10.845714286 11.457272727 12.242272727 12.643181818 12.695909091 12.457619048 11.975909091 12.513181818 12.779047619 13.0245 14.298095238 13.645714286 13.185909091 13.013636364 13.595238095 13.60173913 13.495 13.210952381 13.630909091 15.961904762
"Sequana" 752.1385 932.121 1238.2043478 1077.4452632 1008.6954545 1159.5554545 1125.8685 1044.8773913 1002.699 746.10909091 672.31190476 586.342 671.20047619 646.74 593.54727273 572.5725 642.82045455 619.75571429 584.41761905 591.34565217 453.66666667 429.16217391 513.38285714 545.221 551.04619048 541.02263158 591.8385 569.07090909 509.47909091 426.051 361.72818182 323.14727273 270.769 256.41 325.2355 319.85809524 308.16 277.33473684 305.83 318.78238095 348.85142857 373.96857143 386.975 407.2652381 451.02363636 463.91826087 513.82157895 500.30227273 533.4915 510.16111111 484.76130435 490.43142857 458.129 472.30714286 428.69 387.08227273 380.0647619 396.00333333 423.29809524 430.34318182 402.601 423.84210526 426.07181818 400.1347619 408.11952381 430.11636364 455.658 468.78130435 469.89190476 447.66047619 463.51904762 494.5115
"Seribo" 15.84047619 16.084761905 16.433913043 15.846666667 16.070909091 15.700952381 15.827 16.180869565 16.765238095 16.640909091 17.122272727 17.528421053 18.944545455 19.5475 19.133181818 20.281052632 19.923636364 19.2 19.290454545 19.455652174 17.5785 15.909130435 17.949090909 18.977222222 19.161818182 19.2735 20.1265 20.56 19.741363636 18.912 17.633478261 17.149545455 15.56952381 15.940869565 17.642857143 16.8275 16.347272727 15.9255 14.638571429 15.776 17.06047619 16.557142857 16.967826087 16.814285714 18.04 18.431304348 18.515 18.614761905 18.372380952 19.881 21.905652174 21.5545 20.52 20.62 20.568181818 20.48 20.695 22.516190476 23.162727273 23.549130435 23.845714286 24.6805 24.553809524 23.478571429 22.840909091 22.952727273 22.837619048 22.685217391 22.986818182 22.98047619 23.569545455 23.654761905
"Sii" 31.814 31.697 31.51826087 30.206111111 31.060909091 32.7875 33.648 34.055217391 32.947142857 32.189090909 31.638181818 31.576842105 37.519545455 38.5035 38.210909091 38.694736842 39.288181818 36.176 37.911818182 39.547826087 34.8315 37.089565217 38.750454545 38.860555556 40.833636364 40.692 41.195 40.299047619 40.322272727 37.3165 37.03 38.06 37.892380952 36.380869565 37.595714286 36.685263158 37.480952381 36.3405 32.922631579 33.858 35.41 33.74 33.223043478 32.457 33.315909091 34.846521739 35.582 35.17 35.59047619 38.593 37.893913043 38.997 40.46 39.324285714 42.733636364 43.750454545 46.225 48.552380952 52.036363636 55.345454545 61.738095238 67.7075 70.923809524 69.28 73.165909091 71.233333333 61.788095238 65.811363636 69.565 71.405 65.252631579 66.94
"Siic-Paris" 46.51047619 67.694736842 90.669444444 58.538888889 51.705 45.497619048 46.4265 45.200434783 50.508095238 45.2 48.109545455 46.974736842 47.029090909 46.5465 44.835454545 41.076842105 49.520909091 45.238 39.704545455 39.267391304 26.4215 25.117826087 28.115909091 30.259444444 30.111363636 29.4625 31.389 31.981904762 28.905454545 24.145 21.773478261 16.017727273 15.160952381 11.190434783 13.93047619 15.1525 14.113181818 12.948 12.11 12.484 15.67 17.794761905 17.833913043 18.756666667 24.911363636 24.033913043 27.4505 25.55 26.62047619 29.455 29.413043478 28.6645 29.782857143 30.516363636 30.169545455 28.985454545 29.739545455 30.208095238 32.270909091 33.26173913 34.731428571 36.3705 38.27 39.587619048 38.721818182 41.142272727 40.702857143 43.180434783 44.578636364 45.755714286 45.29 47.01
"Siparex" 40.674285714 38.19 36.230434783 36.241111111 37.415454545 38.473333333 36.7485 38.618695652 38.820952381 38.492272727 39.371818182 40.178947368 40.363636364 40.284 40.840909091 41.634736842 43.232727273 42.7235 42.235 42.99 39.923 38.982608696 39.49 38.948333333 39.713181818 39.0805 41.1535 42.620952381 44.905909091 44.78 43.810434783 42.195454545 40.729047619 38.180434783 40.126666667 41.919 42.348636364 41.428 39.275714286 39.1155 42.01952381 41.956666667 44.283913043 46.514761905 46.979545455 47.928695652 51.193 51.954761905 53.480952381 53.095 58.313043478 57.4875 54.042857143 56.356818182 57.229545455 59.188636364 61.695454545 61.669047619 64.354545455 71.932608696 72.00952381 75.345 71.814285714 73.088095238 75.225 80.145454545 86.247619048 85.295652174 86.793181818 80.973809524 75.556818182 77.621428571
"Siraga" 30.594761905 31.274285714 31.176956522 31.046666667 30.444545455 30.482380952 31.035 31.962727273 32.263809524 31.195 30.573809524 28.075263158 29.843636364 30.111 29.924545455 29.618421053 29.515909091 30.252 28.538181818 29.64 26.709 27.896956522 27.198636364 25.489444444 24.540909091 24.7535 23.914 24.791428571 24.145 23.48 22.312173913 21.600454545 21.69047619 20.206086957 19.765714286 19.733 19.887727273 20.236 21.412380952 20.7715 20.436666667 19.771904762 19.94173913 20.896190476 21.339047619 21.006086957 19.9785 20.053809524 21.245714286 22.728 21.868695652 21.347 20.796190476 20.641818182 21.234090909 22.077727273 22.864090909 23.668095238 23.582727273 24.862173913 27.079047619 27.422 27.738095238 28.18 29.952727273 32.753636364 33.243333333 32.632173913 31.522272727 30.868571429 30.327272727 30.37047619
"Smoby" 7295.315 7042.6809524 7139.7913043 7447.3444444 7691.2227273 7782.11 7921.052381 8252.847619 8032.4047619 7801.4409091 8077.3727273 8028.9473684 7965.3904762 7848.215 7244.4045455 7145.0052632 7536.3 7340.56 6940.0636364 6742.95 5899.8176471 6033.7565217 6365.7636364 6323.5882353 6335.0590909 6251.09 6523.435 6640.447619 6594.8818182 6079.79 5423.0391304 5276.2363636 4911.9 4791.326087 5009.7761905 4891.1333333 4704.5333333 4247.075 4069.9190476 4446.895 4557.545 4829.915 4908.7130435 5110.3190476 5276.8954545 5187.4130435 5268.135 5400.3263158 5658.075 5832.635 5711.1130435 5790.975 5725.9 5679.1863636 5529.2318182 5415.2909091 5518.2136364 5443.852381 5576.7045455 5612.1272727 5732.6047619 5875.2 5956.012381 5950.437619 6014.3873684 6234.0361905 6413.9690476 6593.9191304 6732.07 6935.5147619 7328.9504545 7546.786
"Smtpc" 35.532857143 34.891428571 29.62173913 29.588333333 35.025909091 34.436666667 32.382 32.673913043 30.442857143 28.198181818 27.017272727 25.862631579 24.077727273 26.7475 26.542727273 24.783529412 28.551 30.813157895 27.595263158 27.651764706 25.641052632 27.625652174 28.185 28.249444444 30.203181818 32.5865 34.001 35.994761905 35.440909091 32.519 32.706521739 26.609090909 25.431904762 22.473043478 25.568095238 24.942 26.205 27.4285 25.391904762 24.335263158 27.554285714 33.347 40.444347826 50.146666667 58.152272727 62.497826087 63.685 68.59047619 69.530952381 69.895 69.102173913 73.0775 74.288095238 77.779545455 82.577272727 77.534090909 77.409090909 81.747619048 81.779545455 79.280434783 75.954761905 78.265 74.84047619 76.9 79.565909091 88.131818182 88.402380952 88.558695652 88.204545455 86.885714286 76.388636364 70.466666667
"Sodexho" 53.002857143 50.734285714 51.096956522 55.83 61.435 63.045238095 63.42 66.358695652 66.747619048 60.384090909 64.722727273 64.447368421 70.081818182 68.1125 64.959090909 70.776315789 70.718181818 70.3275 64.536363636 64.75 56.3455 56.515217391 61.270454545 61.613888889 65.613636364 65.01 69.7075 73.654761905 76.715909091 67.84 56.902608696 60.2 52.59 47.31173913 52.82047619 54.7825 55.254545455 51.3035 48.999047619 53.3265 53.354761905 56.007142857 58.35 62.180952381 61.268181818 61.536956522 65.7275 68.757142857 72.769047619 72.7625 69.876086957 72.5075 68.716666667 71.070454545 67.611363636 68.206818182 71.588636364 72.692857143 74.004545455 74.193478261 76.407142857 79.0025 79.65 79.335714286 79.25 82.725 87.419047619 88.643478261 90.936363636 93.792857143 99.502272727 103.5952381
"Sodice-E" 39.958571429 36.697142857 36.584347826 40.246111111 42.207727273 44.384761905 45.04 44.880869565 45.851428571 45.001818182 48.515 48.186315789 50.238636364 51.737 53.48 55.1 53.411363636 52.0125 57.570454545 55.986956522 47.4225 50.743913043 48.529090909 46.773888889 46.872272727 44.9945 47.34 45.823809524 40.051363636 35.713 31.150869565 28.166363636 25.423333333 21.07173913 24.283809524 23.8275 24.137727273 22.802 20.206666667 19.965 20.498095238 23.19 24.26826087 25.624761905 25.371818182 23.01173913 23.437 23.785714286 24.571428571 24.947 25.321304348 24.061 21.607142857 21.066363636 22.670909091 21.609545455 21.641363636 20.337142857 21.738181818 22.746956522 22.54047619 23.979 24.655238095 25.051904762 25.884090909 26.008181818 27.91047619 28.166086957 29.152727273 31.69047619 33.638181818 34.691904762
"Sodifrance" 123.04761905 114.14736842 114.9047619 112.92727273 113.07894737 108.98 112.595 120.17826087 116.2952381 116.24545455 119.01818182 118.17368421 121.65909091 130.345 128.34545455 133.88421053 141.97142857 150.38 154.14545455 175.0826087 172.7 168.22727273 167.51428571 168.53888889 169.27727273 168.77894737 166.625 164.54 162.11818182 159.31 162.39090909 164.51363636 161.56666667 153.28695652 153.77142857 152.54736842 156.77 153.49444444 148.04 150.695 149.925 145.61428571 146.87619048 154.57 150.16363636 144.47619048 141.05555556 142.08 143.52142857 141.22105263 157.64210526 158.78888889 164.95555556 165.67333333 164.60625 166.515 161.42 156.70526316 160.2047619 172.53478261 176.55 177.26666667 174.48571429 172.16666667 172.66923077 171.58888889 168.41666667 173.3 168.98636364 168.03888889 163.28421053 164.03529412
"Soditech" 22.327 49.272727273 58.63 39.874 38.594545455 34.30047619 28.6525 29.517826087 35.045 28.410454545 29.039090909 24.14 20.513636364 17.4415 13.341818182 13.326842105 13.408636364 11.7175 8.94 11.265652174 9.9625 9.7986956522 11.780454545 13.689444444 13.832727273 14.5835 15.2715 17.947619048 17.126363636 13.9065 12.19 10.417727273 9 7.2847826087 7.9733333333 8.2785 7.6827272727 7.3475 6.7395238095 6.9645 7.2338095238 6.9947619048 6.7065217391 6.1566666667 7.6486363636 7.032173913 6.27 5.6366666667 5.5171428571 6.508 6.3517391304 6.766 6.5638095238 6.3009090909 6.4159090909 6.3272727273 6.0913636364 6.0957142857 6.1654545455 6.2986956522 7.5047619048 7.5015 7.1461904762 6.1904761905 5.8672727273 6.1059090909 5.9347619048 6.0056521739 5.87 5.8519047619 5.5840909091 5.08
"Soitec-Sil" 56.565789474 71.205 91.327272727 70.216666667 67.402272727 67.4725 54.702 57.443478261 53.664285714 54.693181818 52.584090909 47.602631579 49.340909091 51.4 49.437727273 46.164736842 49.316818182 49.651 49.091363636 47.982173913 32.33 28.253043478 24.655909091 25.412222222 26.905909091 32.804 35.3455 35.64 33.825909091 30.015 23.934347826 20.440454545 15.957619048 7.3265217391 10.574761905 10.132 8.802 9.1425 7.6028571429 9.3245 11.627142857 11.615714286 11.564347826 12.537142857 16.948636364 21.319130435 22.0255 33.59 31.283333333 34.2055 31.303043478 31.8145 31.772380952 28.490454545 25.236363636 27.930909091 27.775454545 28.369047619 27.89 28.344347826 29.772857143 34.257 32.041904762 31.051904762 30.799545455 30.059545455 30.497142857 30.44 31.653636364 36.401428571 34.341818182 34.97047619
"Fdl" 14.857 22.09 31.839130435 25.367222222 29.750454545 29.266190476 27.819 26.385217391 29.58047619 28.180454545 24.302272727 23.939473684 25.054090909 24.3775 19.528636364 17.75 20.832727273 21.5205 19.019090909 16.49 10.3485 12.552608696 19.721363636 24.188888889 24.567272727 22.6205 24.1035 18.650952381 12.913636364 9.787 8.1239130435 5.3881818182 4.63 3.7160869565 3.3276190476 3.6735 3.2559090909 3.0655 2.789047619 3.262 4.3757142857 5.3804761905 4.5995652174 4.8385714286 5.4327272727 4.7465217391 4.7225 4.4738095238 4.6280952381 4.894 4.962173913 4.807 4.2223809524 4.2622727273 4.6709090909 4.3 4.2568181818 4.549047619 4.8540909091 5.1126086957 5.7719047619 6.757 7.86 8.0852380952 8.8695454545 9.2040909091 10.023809524 11.383478261 13.700454545 13.871428571 13.700454545 14.877619048
"Somfy" 40.111428571 63.7495 80.931304348 68.138888889 70.177272727 73.921428571 70.0125 75.276086957 87.00952381 81.95 81.972727273 79.252631579 84 86.99 77.465909091 79.394736842 81.781818182 75.97 68.409090909 64.863043478 44.483 47.732173913 51.910454545 49.210555556 45.25 33.976 36.038 39.95952381 32.788636364 21.5645 14.240869565 11.53 8.3728571429 5.3760869565 4.9333333333 5.383 5.0436363636 4.8625 4.2295238095 4.5955 6.5547619048 6.8123809524 6.1408695652 6.8447619048 9.7886363636 9.2856521739 10.349 9.6119047619 9.7233333333 9.2015 8.1830434783 8.382 8.3552380952 7.8981818182 7.3327272727 5.1868181818 4.2363636364 3.6561904762 2.8509090909 3.3330434783 3.1604761905 2.971 3.6885714286 4.5423809524 4.7127272727 4.9804545455 5.3547619048 5.6347826087 6.1945454545 8.1319047619 7.64 7.9647619048
"Sopra" 75.407142857 74.928571429 72.030434783 69.938888889 68.347727273 66.692857143 64.79 72.191304348 75.630952381 82.615909091 80.509090909 81.865789474 78.856818182 80.39 79.522727273 76.078947368 77.531818182 79.655 79.543181818 80.543478261 79.2125 78.754347826 79.313636364 82.347222222 80.488636364 83.8 94.505 102.47619048 103.44761905 100.215 94.932608696 101.1 102.67142857 103.53913043 101.73809524 102.84 103.33181818 102.08 94.297619048 95.3125 94.65952381 94.288095238 95.934782609 105.39047619 115.67727273 120.6826087 131.63 139.14285714 138.97142857 150.905 148.69130435 149.52 152.60952381 154.38181818 150.49090909 152.97272727 160.32727273 163.15714286 162.12727273 156.66086957 159.5952381 163.515 164.32857143 162.9047619 162.75909091 164.01818182 162.96190476 164.66956522 163.47727273 168.40952381 168.57272727 172.6
"Sorefico" 93.088095238 123.96190476 145.5 99.155555556 87.418181818 76.45 82.845 81.223913043 92.738095238 81.793181818 80.006818182 70.421052632 66.061363636 67.5275 60.777272727 64.902631579 77.293181818 70.91 62.881818182 62.365217391 39.354 37.697391304 40.668181818 40.177222222 42.28 44.5745 49.836 55.24047619 48.908636364 39.5755 36.456086957 28.987272727 20.316190476 14.159130435 21.389047619 20.8325 18.837727273 18.7915 17.197142857 21.132 25.206190476 27.502857143 28.882173913 31.410952381 35.993636364 36.002608696 39.067 36.336666667 37.72952381 36.807 35.600434783 36.424 37.079047619 37.360909091 37.706363636 36.581818182 36.717727273 36.118571429 41.211363636 44.142173913 43.564285714 46.265 43.755714286 41.513809524 42.086818182 45.033636364 47.678571429 51.634347826 59.047727273 63.678571429 60.838636364 61.521428571
"F-Volta" 86.485714286 137.13809524 132.84347826 99.130555556 100.04772727 88.535714286 79.84 79.85 89.854761905 87.945454545 82.959090909 75.8 76.459090909 77.4925 79.565909091 81.102631579 88.711363636 85.585 81.320454545 81.860869565 66.515 65.15 67.868181818 72.769444444 76.638636364 78.425 84.7625 87.885714286 87.334090909 78.365 76.402173913 72.002272727 77.038095238 79.410869565 76.569047619 74.5825 77.829545455 75.3825 73.566666667 73.2775 66.992857143 64.94047619 61.7 65.633333333 70.404545455 72.319565217 75.3025 72.276190476 78.047619048 89.795 96.793478261 107.2 116.87142857 119.53636364 127.40909091 121.82727273 127.10454545 137.05714286 143.80454545 145.4826087 145.35238095 145.865 151.35238095 154.47619048 156.35909091 166.50454545 174.6952381 166.27826087 169.50454545 149.82857143 122.62272727 123.96666667
"Dupont" 26.777142857 39.931904762 47.934347826 37.195882353 39.731363636 42.72 39.1175 40.223913043 41.739047619 37.054090909 36.672727273 36.764210526 34.88 30.9 25.105454545 23.095263158 28.450454545 28.62 23.900454545 23.603913043 16.6995 18.967391304 20.626818182 23.207777778 25.298636364 25.0555 27.276 28.418571429 27.480909091 25.1685 22.016956522 19.295909091 18.362857143 16.736086957 19.598095238 19.048 17.957727273 14.6715 11.383333333 12.2595 12.867142857 13.369047619 13.28826087 14.497619048 15.147727273 15.113913043 17.0175 17.28047619 18.177142857 18.688 19.276521739 18.004 17.20952381 18.543181818 18.670454545 17.937272727 17.048181818 16.704761905 18.442272727 19.013913043 20.443333333 21.563 21.893333333 22.692380952 22.619090909 24.226818182 24.378571429 25.070434783 24.770454545 25.096666667 25.975 26.311428571
"Stedim" 17.44 18.4 16.515217391 15.313888889 17.641363636 18.353809524 17.572 16.653181818 17.017142857 13.689090909 13.805909091 16.438421053 18.503181818 21.912 20.977727273 20.631052632 22.160909091 23.0965 22.821904762 24.341304348 19.706 18.270434783 18.052727273 19.231666667 18.919047619 21.6885 21.605 23.681904762 26.181904762 29.7795 28.446521739 28.025454545 26.308947368 24.36826087 28.122 27.818421053 29.683636364 29.727894737 26.670952381 30.4205 34.936190476 37.292380952 36.979565217 38.272857143 36.206363636 37.947826087 39.066 38.3175 39.052380952 41.672 42.356521739 41.471 41.7155 44.168636364 47.588181818 47.272272727 47.861818182 53.657142857 59.527272727 63.476086957 67.819047619 78.0625 84.05 93.126190476 94.333333333 104.75909091 113.5 105.36086957 112.5 109.44285714 104.2547619 117.29047619
"Stef-Tfe" 8.5261904762 11.447142857 12.197391304 11.828333333 13.685909091 15.128095238 13.1445 13.542173913 14.384285714 15.674090909 16.954090909 20.051578947 21.193636364 19.582 17.550454545 17.62 22.496818182 22.028 22.083636364 20.017826087 17.964 18.940869565 17.547727273 17.729444444 17.577272727 17.314 18.8135 21.437142857 23.309545455 22.8835 20.565217391 17.580454545 16.869047619 8.05 10.922857143 12.3455 12.640454545 10.367 8.1561904762 7.722 6.9719047619 8.0385714286 9.0552173913 9.2857142857 10.115454545 9.1413043478 8.898 7.6957142857 7.7861904762 8.6225 9.5504347826 9.601 9.0647619048 9.14 11.262272727 10.904090909 11.790454545 13.785714286 14.634545455 16.211304348 18.040952381 19.5615 20.028571429 19.778571429 19.618636364 21.796363636 22.250952381 22.384782609 23.981363636 22.517142857 22.632272727 24.547142857
"Stmicro" 12.397142857 13.43952381 12.302608696 11.570555556 11.899090909 11.396190476 11.3895 11.54 11.092380952 10.298636364 10.227727273 10.369473684 10.973181818 10.9345 11.112272727 10.890526316 11.875909091 12.2245 12.31 14.110434783 13.474 14.14826087 14.348181818 14.509444444 14.745909091 14.3975 14.1845 13.854285714 15.585454545 14.7345 14.143478261 15.024545455 14.62 13.109565217 13.330952381 13.5045 14.706818182 14.635 13.97952381 13.7255 14.372857143 14.299047619 15.533478261 16.933333333 17.343636364 17.027826087 17.3015 16.892857143 17.892857143 18.661 18.233478261 19.051 21.168571429 20.121818182 20.135 20.191818182 20.499545455 20.368095238 19.975909091 21.179565217 22.442857143 25.9615 27.192857143 27.038095238 26.870454545 27.566818182 26.91 29.624347826 31.53 33.926666667 34.03 35.57047619
"Sucr-Pith" 50.78 67.614761905 68.643043478 62.836666667 68.359545455 69.188095238 66.62 64.386956522 63.569047619 54.490454545 53.334090909 50.902631579 46.562727273 43.178 37.53 40.450526316 45.113181818 39.6155 34.735454545 36.60826087 26.5455 29.242173913 36.888181818 36.847777778 36.207272727 34.258 37.9025 35.89047619 32.16 24.67 23.481304348 20.811363636 17.24 15.706086957 22.403333333 21.737 19.206818182 16.5015 17.761904762 18.0415 18.531904762 19.119047619 19.389565217 19.588571429 22.627727273 22.662608696 23.192 22.257142857 22.725238095 21.21 19.88 19.3105 18.011904762 17.922272727 16.485454545 14.485909091 14.278181818 14.221428571 15.320909091 14.717391304 13.355714286 13.2065 13.24952381 12.181428571 11.523636364 13.123181818 14.199047619 13.799565217 13.889090909 13.923333333 14.539545455 15.46
"Suez" 317.64 312.97142857 302.64090909 292.98333333 307.78571429 300.03809524 325.1 343.93809524 331.88 312.43636364 302.98181818 299.81052632 301.40454545 312.52631579 305.56363636 300.04 305.96 308.35555556 396.84545455 422.77826087 391.565 366.71818182 372.57142857 375.00555556 387.02727273 391.005 422.78421053 427.3 423.65 405.42631579 388.49090909 393.13333333 394.87142857 368.82380952 383.875 396.42 407.1 403.0375 398.36111111 413.81578947 440.09473684 467.61904762 489.03 493.22380952 525.01363636 504.30434783 507.27368421 498.025 508.90952381 543.375 601.11363636 573.75 585.52631579 553.275 533.39473684 544.5952381 570.25 552.97368421 564.45 570.16666667 598.85 599.35294118 593.925 569.7 532.71428571 532.58823529 542.13888889 547.8 558.61111111 584.71052632 581.47368421 580
"Supra" 30.156190476 33.721904762 36.945217391 35.234444444 35.74 37.577142857 35.675 35.746086957 34.291428571 35.454545455 36.777272727 38.046315789 36.600909091 35.84 33.205454545 33.722105263 35.105909091 36.802 37.512727273 37.757391304 35.961 35.466956522 34.417727273 32.756111111 32.71 33.263 32.4125 32.577142857 31.956818182 27.7085 23.403913043 23.432272727 19.707619048 16.669130435 18.325714286 17.491 17.917272727 16.1325 11.234761905 13.1795 14.256666667 14.928571429 13.85 13.88952381 14.777272727 13.950434783 14.0135 15.347619048 16.104761905 17.4035 16.854347826 17.205 15.872857143 16.359545455 16.616818182 15.871818182 17.166363636 17.957142857 18.125 18.867826087 19.64952381 21.084 20.483333333 20.936666667 21.606818182 22.287272727 22.549047619 23.579130435 23.965454545 23.14952381 23.467727273 25.5
"Synergie" 25.126666667 33.176666667 49.711818182 37.401666667 30.248181818 29.985714286 26.503 28.082727273 35.826190476 34.305 32.169545455 27.601052632 33.113636364 34.4285 30.8 26.912105263 29.411818182 28.0505 23.473181818 25.535652174 19.829 19.161304348 21.24 21.575 21.361818182 22.4395 24.191 24.772380952 20.961818182 12.744 8.2647826087 6.8472727273 5.5123809524 3.1043478261 4.16 3.8575 3.2781818182 2.7255 2.4314285714 2.872 3.7147619048 4.1580952381 3.7573913043 3.7847619048 4.5886363636 4.29 4.6995 5.898 6.6495238095 6.8385 6.272173913 6.319 5.9704761905 5.7145454545 5.9868181818 5.5790909091 5.1263636364 5.2028571429 5.4304545455 5.38 6.4080952381 6.462 6.7047619048 6.6552380952 5.4718181818 5.0172727273 4.9828571429 4.6869565217 4.6090909091 4.3728571429 3.8527272727 3.9238095238
"Systar" 15.36952381 15.768095238 20.773636364 18.99 21.216818182 22.561904762 24.292631579 27.346956522 27.128571429 25.785454545 28.573181818 29.958421053 28.645714286 25.9725 22.15952381 20.978947368 25.295238095 22.105 16.909090909 14.327826087 11.907 11.78826087 12.998181818 14.481666667 15.640909091 13.967368421 17.823 19.6095 20.105 19.09 18.027727273 16.268571429 13.570952381 8.3191304348 9.9505263158 10.8445 9.286 7.7794117647 7.258 7.5225 8.3975 10.452 10.960909091 13.237142857 13.185454545 13.313043478 15.8245 15.726190476 18.591428571 19.5445 18.893913043 20.875 21.58 22.12 21.599090909 19.622777778 18.183636364 20.351428571 20.889545455 22.28826087 26.054761905 26.5365 26.688095238 26.34047619 23.593636364 25.522272727 26.71952381 28.613913043 27.694545455 30.132857143 29.294545455 29.215238095
"Systran" 12.54047619 30.706190476 46.114347826 24.581176471 19.279545455 20.960952381 23.0255 26.59173913 34.202380952 32.174090909 29.808181818 24.137894737 24.301363636 26.174 23.949545455 16.665263158 12.471818182 8.536 5.0486363636 4.4317391304 3.9145 4.0113043478 3.7990909091 3.8266666667 3.7068181818 3.523 3.832 3.6761904762 3.4968181818 2.6565 1.6082608696 1.5095454545 1.249047619 1.3186956522 1.5014285714 1.6315 1.38 1.0555 0.8204761905 0.8215 0.7576190476 0.9861904762 0.946 0.8588888889 1.1277272727 1.0436363636 1.1484210526 1.1733333333 1.7347619048 2.4925 2.4282608696 2.4036842105 2.1123809524 1.9504761905 1.955 1.6057142857 1.7252380952 2.0125 2.3013636364 2.3431818182 2.2842857143 2.4826315789 3.1023809524 2.8204761905 2.6213636364 2.7740909091 2.7885714286 2.9447826087 2.96 2.9465 2.8059090909 2.6347619048
"Technip" 18.314761905 29.101111111 36.617 25.643529412 28.112380952 26.167142857 21.895 23.689130435 26.13952381 25.484090909 23.495 21.500526316 22.825454545 25.2755 22.601818182 22.537894737 24.065454545 21.924 19.817272727 21.296521739 16.485 15.006086957 16.578181818 16.440555556 15.708181818 14.9555 16.8285 17.30952381 14.803636364 10.928 9.1117391304 8.5509090909 5.52 2.4430434783 2.4242857143 3.0615 2.7545454545 2.1825 1.4828571429 1.383 1.7419047619 2.1971428571 1.907826087 1.7923809524 2.1963636364 2.2482608696 2.7445 2.8557142857 3.66 4.703 3.9669565217 2.9415 2.6152380952 2.445 2.5490909091 2.5704545455 2.4959090909 2.2457142857 1.8945454545 1.9086956522 2.184375 2.76 2.7304761905 2.95 2.8190909091 2.7886363636 2.8342857143 3.0030434783 3.4418181818 3.380952381 3.365 3.1904761905
"Technofan" 27.326190476 28.142857143 29.860869565 31.617777778 29.660454545 30.386666667 32.4545 34.87173913 38.01952381 37.860454545 37.381363636 33.889473684 36.365909091 38.503 39.013636364 41.613684211 44.475 42.988947368 36.209047619 39.506086957 35.8055 34.278695652 33.263181818 34.345555556 35.729545455 34.285 38.471 39.57 37.038181818 29.3545 23.929565217 18.974545455 18.288571429 14.56 17.371428571 17.836 16.165909091 14.311 14.869047619 17.297 19.138095238 20.130952381 19.527826087 19.428571429 21.539545455 21.286521739 21.873 21.987619048 22.216666667 25.714 27.553913043 28.071 27.470952381 27.795 27.754545455 29.770909091 31.576818182 31.993809524 30.824545455 32.481304348 32.446666667 32.217 32.446666667 32.563333333 33.795 37.232727273 41.078571429 45.424347826 48.036818182 45.780952381 45.834090909 49.627619048
